2026-05-15 14:04:37 | ============================================================
2026-05-15 14:04:37 | Training started
2026-05-15 14:04:37 | epochs       : 1501
2026-05-15 14:04:37 | learning_rate: 0.001
2026-05-15 14:04:37 | weight_decay : 1e-05
2026-05-15 14:04:37 | step_size    : 100
2026-05-15 14:04:37 | gamma        : 0.75
2026-05-15 14:04:37 | epoch_save   : 500
2026-05-15 14:04:37 | ============================================================
2026-05-15 14:04:40 | Epoch 00000 | train: 0.696024
2026-05-15 14:04:40 | Epoch 00000 | test : 0.406920  [lr=1.00e-03]
2026-05-15 14:04:40 | Epoch 00000 | best model saved  (test_loss=0.406920)
2026-05-15 14:04:41 | Epoch 00001 | train: 0.377624
2026-05-15 14:04:42 | Epoch 00002 | train: 0.273915
2026-05-15 14:04:43 | Epoch 00003 | train: 0.175910
2026-05-15 14:04:44 | Epoch 00004 | train: 0.136519
2026-05-15 14:04:45 | Epoch 00005 | train: 0.100385
2026-05-15 14:04:46 | Epoch 00006 | train: 0.149313
2026-05-15 14:04:47 | Epoch 00007 | train: 0.094315
2026-05-15 14:04:48 | Epoch 00008 | train: 0.091607
2026-05-15 14:04:49 | Epoch 00009 | train: 0.102971
2026-05-15 14:04:50 | Epoch 00010 | train: 0.062100
2026-05-15 14:04:51 | Epoch 00011 | train: 0.085727
2026-05-15 14:04:52 | Epoch 00012 | train: 0.111782
2026-05-15 14:04:53 | Epoch 00013 | train: 0.129321
2026-05-15 14:04:54 | Epoch 00014 | train: 0.075677
2026-05-15 14:04:55 | Epoch 00015 | train: 0.073249
2026-05-15 14:04:57 | Epoch 00016 | train: 0.079483
2026-05-15 14:04:58 | Epoch 00017 | train: 0.054010
2026-05-15 14:04:59 | Epoch 00018 | train: 0.107899
2026-05-15 14:05:00 | Epoch 00019 | train: 0.058629
2026-05-15 14:05:01 | Epoch 00020 | train: 0.063205
2026-05-15 14:05:02 | Epoch 00021 | train: 0.083979
2026-05-15 14:05:03 | Epoch 00022 | train: 0.061082
2026-05-15 14:05:04 | Epoch 00023 | train: 0.072721
2026-05-15 14:05:05 | Epoch 00024 | train: 0.079933
2026-05-15 14:05:06 | Epoch 00025 | train: 0.064734
2026-05-15 14:05:07 | Epoch 00026 | train: 0.042472
2026-05-15 14:05:08 | Epoch 00027 | train: 0.061111
2026-05-15 14:05:09 | Epoch 00028 | train: 0.041130
2026-05-15 14:05:10 | Epoch 00029 | train: 0.052438
2026-05-15 14:05:11 | Epoch 00030 | train: 0.062871
2026-05-15 14:05:12 | Epoch 00031 | train: 0.065459
2026-05-15 14:05:13 | Epoch 00032 | train: 0.054090
2026-05-15 14:05:14 | Epoch 00033 | train: 0.042311
2026-05-15 14:05:15 | Epoch 00034 | train: 0.053103
2026-05-15 14:05:16 | Epoch 00035 | train: 0.051081
2026-05-15 14:05:18 | Epoch 00036 | train: 0.051337
2026-05-15 14:05:19 | Epoch 00037 | train: 0.058815
2026-05-15 14:05:20 | Epoch 00038 | train: 0.049175
2026-05-15 14:05:21 | Epoch 00039 | train: 0.050577
2026-05-15 14:05:22 | Epoch 00040 | train: 0.078906
2026-05-15 14:05:23 | Epoch 00041 | train: 0.043742
2026-05-15 14:05:24 | Epoch 00042 | train: 0.043372
2026-05-15 14:05:25 | Epoch 00043 | train: 0.083157
2026-05-15 14:05:26 | Epoch 00044 | train: 0.045639
2026-05-15 14:05:27 | Epoch 00045 | train: 0.042139
2026-05-15 14:05:28 | Epoch 00046 | train: 0.043209
2026-05-15 14:05:29 | Epoch 00047 | train: 0.037737
2026-05-15 14:05:30 | Epoch 00048 | train: 0.068395
2026-05-15 14:05:31 | Epoch 00049 | train: 0.073328
2026-05-15 14:05:32 | Epoch 00050 | train: 0.053936
2026-05-15 14:05:33 | Epoch 00051 | train: 0.046381
2026-05-15 14:05:34 | Epoch 00052 | train: 0.047142
2026-05-15 14:05:35 | Epoch 00053 | train: 0.055107
2026-05-15 14:05:36 | Epoch 00054 | train: 0.045633
2026-05-15 14:05:37 | Epoch 00055 | train: 0.041174
2026-05-15 14:05:39 | Epoch 00056 | train: 0.046894
2026-05-15 14:05:40 | Epoch 00057 | train: 0.033332
2026-05-15 14:05:41 | Epoch 00058 | train: 0.046435
