2026-05-03 18:53:38 | ============================================================
2026-05-03 18:53:38 | Experiment    : Ex1
2026-05-03 18:53:38 | criterion     : mse
2026-05-03 18:53:38 | epochs        : 2000
2026-05-03 18:53:38 | learning_rate : 0.001
2026-05-03 18:53:38 | weight_decay  : 1e-05
2026-05-03 18:53:38 | step_size     : 1
2026-05-03 18:53:38 | gamma         : 0.998
2026-05-03 18:53:38 | epoch_save    : 200
2026-05-03 18:53:38 | ============================================================
2026-05-03 18:53:40 | Epoch 00001 | train: 0.010710
2026-05-03 18:53:41 | Epoch 00002 | train: 0.005124
2026-05-03 18:53:41 | Epoch 00003 | train: 0.004366
2026-05-03 18:53:41 | Epoch 00004 | train: 0.005435
2026-05-03 18:53:41 | Epoch 00005 | train: 0.004844
2026-05-03 18:53:42 | Epoch 00006 | train: 0.004344
2026-05-03 18:53:42 | Epoch 00007 | train: 0.006406
2026-05-03 18:53:42 | Epoch 00008 | train: 0.004579
2026-05-03 18:53:43 | Epoch 00009 | train: 0.004287
2026-05-03 18:53:43 | Epoch 00010 | train: 0.004238
2026-05-03 18:53:43 | Epoch 00011 | train: 0.004115
2026-05-03 18:53:44 | Epoch 00012 | train: 0.004034
2026-05-03 18:53:44 | Epoch 00013 | train: 0.004002
2026-05-03 18:53:44 | Epoch 00014 | train: 0.003979
2026-05-03 18:53:45 | Epoch 00015 | train: 0.003801
2026-05-03 18:53:45 | Epoch 00016 | train: 0.003572
2026-05-03 18:53:45 | Epoch 00017 | train: 0.003030
2026-05-03 18:53:45 | Epoch 00018 | train: 0.002691
2026-05-03 18:53:46 | Epoch 00019 | train: 0.001863
2026-05-03 18:53:46 | Epoch 00020 | train: 0.002659
2026-05-03 18:53:46 | Epoch 00021 | train: 0.002483
2026-05-03 18:53:47 | Epoch 00022 | train: 0.002127
2026-05-03 18:53:47 | Epoch 00023 | train: 0.002050
2026-05-03 18:53:47 | Epoch 00024 | train: 0.002960
2026-05-03 18:53:48 | Epoch 00025 | train: 0.001948
2026-05-03 18:53:48 | Epoch 00026 | train: 0.001749
2026-05-03 18:53:48 | Epoch 00027 | train: 0.001208
2026-05-03 18:53:49 | Epoch 00028 | train: 0.001085
2026-05-03 18:53:49 | Epoch 00029 | train: 0.002169
2026-05-03 18:53:49 | Epoch 00030 | train: 0.001002
2026-05-03 18:53:50 | Epoch 00031 | train: 0.001166
2026-05-03 18:53:50 | Epoch 00032 | train: 0.002144
2026-05-03 18:53:50 | Epoch 00033 | train: 0.001632
2026-05-03 18:53:50 | Epoch 00034 | train: 0.001104
2026-05-03 18:53:51 | Epoch 00035 | train: 0.001572
2026-05-03 18:53:51 | Epoch 00036 | train: 0.000903
2026-05-03 18:53:51 | Epoch 00037 | train: 0.000948
2026-05-03 18:53:52 | Epoch 00038 | train: 0.000815
2026-05-03 18:53:52 | Epoch 00039 | train: 0.001325
2026-05-03 18:53:52 | Epoch 00040 | train: 0.001375
2026-05-03 18:53:53 | Epoch 00041 | train: 0.000843
2026-05-03 18:53:53 | Epoch 00042 | train: 0.001683
2026-05-03 18:53:53 | Epoch 00043 | train: 0.001043
2026-05-03 18:53:54 | Epoch 00044 | train: 0.001118
2026-05-03 18:53:54 | Epoch 00045 | train: 0.000972
2026-05-03 18:53:54 | Epoch 00046 | train: 0.000749
2026-05-03 18:53:54 | Epoch 00047 | train: 0.000745
2026-05-03 18:53:55 | Epoch 00048 | train: 0.001650
2026-05-03 18:53:55 | Epoch 00049 | train: 0.000950
2026-05-03 18:53:55 | Epoch 00050 | train: 0.001269
2026-05-03 18:53:56 | Epoch 00051 | train: 0.001673
2026-05-03 18:53:56 | Epoch 00052 | train: 0.003364
2026-05-03 18:53:56 | Epoch 00053 | train: 0.001786
2026-05-03 18:53:57 | Epoch 00054 | train: 0.001208
2026-05-03 18:53:57 | Epoch 00055 | train: 0.000932
2026-05-03 18:53:57 | Epoch 00056 | train: 0.002332
2026-05-03 18:53:58 | Epoch 00057 | train: 0.001208
2026-05-03 18:53:58 | Epoch 00058 | train: 0.000913
2026-05-03 18:53:58 | Epoch 00059 | train: 0.000854
2026-05-03 18:53:58 | Epoch 00060 | train: 0.001485
2026-05-03 18:53:59 | Epoch 00061 | train: 0.001982
2026-05-03 18:53:59 | Epoch 00062 | train: 0.001307
2026-05-03 18:53:59 | Epoch 00063 | train: 0.000936
2026-05-03 18:54:00 | Epoch 00064 | train: 0.001151
2026-05-03 18:54:00 | Epoch 00065 | train: 0.001029
2026-05-03 18:54:00 | Epoch 00066 | train: 0.001487
2026-05-03 18:54:01 | Epoch 00067 | train: 0.001036
2026-05-03 18:54:01 | Epoch 00068 | train: 0.001504
2026-05-03 18:54:01 | Epoch 00069 | train: 0.001002
2026-05-03 18:54:02 | Epoch 00070 | train: 0.001204
2026-05-03 18:54:02 | Epoch 00071 | train: 0.001321
2026-05-03 18:54:02 | Epoch 00072 | train: 0.000848
2026-05-03 18:54:03 | Epoch 00073 | train: 0.000739
2026-05-03 18:54:03 | Epoch 00074 | train: 0.000762
2026-05-03 18:54:03 | Epoch 00075 | train: 0.000438
2026-05-03 18:54:03 | Epoch 00076 | train: 0.001395
2026-05-03 18:54:04 | Epoch 00077 | train: 0.001886
