2026-04-25 17:10:01 | ============================================================
2026-04-25 17:10:01 | Training started
2026-04-25 17:10:01 | epochs       : 2000
2026-04-25 17:10:01 | learning_rate: 0.001
2026-04-25 17:10:01 | weight_decay : 1e-05
2026-04-25 17:10:01 | step_size    : 1
2026-04-25 17:10:01 | gamma        : 0.995
2026-04-25 17:10:01 | epoch_save   : 200
2026-04-25 17:10:01 | ============================================================
2026-04-25 17:10:03 | Epoch 00000 | train: 0.017817
2026-04-25 17:10:03 | Epoch 00000 | test : 0.016887  [lr=9.95e-04]
2026-04-25 17:10:03 | Epoch 00000 | best model saved  (test_loss=0.016887)
2026-04-25 17:10:03 | Epoch 00001 | train: 0.009607
2026-04-25 17:10:03 | Epoch 00002 | train: 0.005492
2026-04-25 17:10:03 | Epoch 00003 | train: 0.002221
2026-04-25 17:10:03 | Epoch 00004 | train: 0.001531
2026-04-25 17:10:03 | Epoch 00005 | train: 0.001383
2026-04-25 17:10:03 | Epoch 00006 | train: 0.001428
2026-04-25 17:10:03 | Epoch 00007 | train: 0.001289
2026-04-25 17:10:03 | Epoch 00008 | train: 0.001306
2026-04-25 17:10:03 | Epoch 00009 | train: 0.001198
2026-04-25 17:10:03 | Epoch 00010 | train: 0.001189
2026-04-25 17:10:03 | Epoch 00011 | train: 0.001261
2026-04-25 17:10:03 | Epoch 00012 | train: 0.001159
2026-04-25 17:10:03 | Epoch 00013 | train: 0.001126
2026-04-25 17:10:03 | Epoch 00014 | train: 0.001054
2026-04-25 17:10:04 | Epoch 00015 | train: 0.001080
2026-04-25 17:10:04 | Epoch 00016 | train: 0.001028
2026-04-25 17:10:04 | Epoch 00017 | train: 0.000947
2026-04-25 17:10:04 | Epoch 00018 | train: 0.000832
2026-04-25 17:10:04 | Epoch 00019 | train: 0.000745
2026-04-25 17:10:04 | Epoch 00020 | train: 0.000603
2026-04-25 17:10:04 | Epoch 00021 | train: 0.000375
2026-04-25 17:10:04 | Epoch 00022 | train: 0.000173
2026-04-25 17:10:04 | Epoch 00023 | train: 0.000130
2026-04-25 17:10:04 | Epoch 00024 | train: 0.000148
2026-04-25 17:10:04 | Epoch 00025 | train: 0.000150
2026-04-25 17:10:04 | Epoch 00026 | train: 0.000140
2026-04-25 17:10:04 | Epoch 00027 | train: 0.000134
2026-04-25 17:10:04 | Epoch 00028 | train: 0.000117
2026-04-25 17:10:04 | Epoch 00029 | train: 0.000089
2026-04-25 17:10:04 | Epoch 00030 | train: 0.000078
2026-04-25 17:10:04 | Epoch 00031 | train: 0.000067
2026-04-25 17:10:04 | Epoch 00032 | train: 0.000048
2026-04-25 17:10:04 | Epoch 00033 | train: 0.000046
2026-04-25 17:10:04 | Epoch 00034 | train: 0.000035
2026-04-25 17:10:04 | Epoch 00035 | train: 0.000034
2026-04-25 17:10:04 | Epoch 00036 | train: 0.000029
2026-04-25 17:10:04 | Epoch 00037 | train: 0.000031
2026-04-25 17:10:04 | Epoch 00038 | train: 0.000029
2026-04-25 17:10:04 | Epoch 00039 | train: 0.000035
2026-04-25 17:10:04 | Epoch 00040 | train: 0.000047
2026-04-25 17:10:04 | Epoch 00041 | train: 0.000044
